FACILTOTSCP,UPTAENM,X,Y,target,label
15.53,기타 휴게음식점,202877.9836,444612.6318,0,1
15.54,횟집,207114.4989,451296.0494,1,0
15.54,한식,208805.0425,444931.8403,0,0
15.54,커피숍,205210.3588,445154.4223,0,1
15.54,일반조리판매,205210.3588,445154.4223,0,1
15.55,경양식,211566.9225,442643.2394,0,0
15.57,한식,202815.9848,456707.1849,1,0
15.57,분식,187954.1896,445124.1316,1,0
15.57,기타 휴게음식점,202440.3389,447782.5132,1,1
15.57,커피숍,205614.4361,445358.6816,1,1
15.58,기타 휴게음식점,202440.3389,447782.5132,1,1
15.58,커피숍,206576.7244,456601.5148,0,1
15.59,경양식,196931.8542,451813.4899,1,0
15.59,커피숍,197802.7077,452342.7598,1,1
15.6,일식,194240.9415,449202.9725,1,0
15.6,기타,204965.131,448808.0608,1,0
15.6,기타 휴게음식점,204081.2821,453187.3952,0,1
15.6,아이스크림,200806.1803,451624.0926,0,1
15.6,커피숍,210770.7341,447456.7426,1,1
15.6,커피숍,197013.4902,451678.7875,1,1
15.6,기타 휴게음식점,202477.8292,453373.5106,1,1
15.6,기타 휴게음식점,198263.9084,450960.763,0,1
15.63,기타 휴게음식점,194265.0676,450433.691,0,1
15.64,분식,188379.892,447136.8452,1,0
15.64,기타 휴게음식점,201878.4396,444829.6946,1,1
15.66,한식,203837.3463,449445.3187,1,0
15.66,한식,199155.5449,452083.1255,0,0
